mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0.0,u,-0.26959705,0.14184059999999998,0,1.9007043822431662,1
0.0,g,0.0454639,0.14200079999999998,0,0.320166506104191,1
0.0,r,-0.024504112,0.14184059999999998,0,0.17275809605994338,1
0.0,i,0.25243762,0.1427277,0,1.7686659281975394,1
0.0,z,0.26489714,0.14277135,0,1.8553942370090357,1
0.0,Y,-0.04069915,0.14184059999999998,0,0.2869358279646308,1
2.0,u,-0.17708342,0.14184059999999998,0,1.248467787079299,1
2.0,g,0.18270567,0.14248322,0,1.282296048615409,1
2.0,r,-0.07922579,0.14184059999999998,0,0.5585550963546404,1
2.0,i,0.060031347,0.14205207,0,0.4226010011680928,1
2.0,z,0.13583376,0.14231864,0,0.9544340783470107,1
2.0,Y,-0.13730541,0.14184059999999998,0,0.968026150481597,1
4.0,u,-0.090396956,0.14184059999999998,0,0.6373136887463816,1
4.0,g,-0.26003063,0.14184059999999998,0,1.8332595180787448,1
4.0,r,-0.022886796,0.14184059999999998,0,0.1613557472261116,1
4.0,i,-0.07218744,0.14184059999999998,0,0.5089335493504682,1
4.0,z,-0.024968407999999997,0.14184059999999998,0,0.17603146066782008,1
4.0,Y,-0.260239,0.14184059999999998,0,1.834728561497907,1
6.0,u,0.26630783,0.1427763,0,1.8652103325271774,1
6.0,g,0.34760368,0.1430607,0,2.429763589860807,1
6.0,r,-0.06481057400000001,0.14184059999999998,0,0.4569254078169439,1
6.0,i,0.07716801,0.14211237,0,0.5430069880616304,1
6.0,z,0.19030182,0.14250986,0,1.335358970951203,1
6.0,Y,-0.32461056,0.14184059999999998,0,2.2885588470437943,1
8.0,u,0.10368924,0.14220566,0,0.7291498805321813,1
8.0,g,-0.25228488,0.14184059999999998,0,1.7786506825267239,1
8.0,r,-0.11403159,0.14184059999999998,0,0.8039418191970424,1
8.0,i,-0.15322729999999998,0.14184059999999998,0,1.080278143211464,1
8.0,z,0.094847955,0.14217456,0,0.6671232532740035,1
8.0,Y,-0.18407534,0.14184059999999998,0,1.2977619948026167,1
10.0,u,0.15084514,0.14237137,0,1.0595187782487447,1
10.0,g,0.09648532,0.14218032,0,0.6786123424113829,1
10.0,r,-0.038471125,0.14184059999999998,0,0.2712278783366681,1
10.0,i,-0.037122555,0.14184059999999998,0,0.2617202338399584,1
10.0,z,-0.07564992,0.14184059999999998,0,0.5333446136014653,1
10.0,Y,-0.041643627,0.14184059999999998,0,0.293594549092432,1
12.0,u,-0.2752615,0.14184059999999998,0,1.9406397040057644,1
12.0,g,0.038835067,0.14197744,0,0.27352984389632606,1
12.0,r,-0.08420488,0.14184059999999998,0,0.5936585152629078,1
12.0,i,0.032642093,0.14195563,0,0.22994574431461434,1
12.0,z,0.13485064,0.14231518,0,0.9475492354364445,1
12.0,Y,-0.06061361,0.14184059999999998,0,0.42733610827929386,1
14.0,u,-0.21026942,0.14184059999999998,0,1.4824346484715945,1
14.0,g,0.03952528,0.14197987,0,0.2783865064815174,1
14.0,r,-0.08551302599999999,0.14184059999999998,0,0.6028811637852632,1
14.0,i,0.054173465999999997,0.14203145,0,0.38141880548287016,1
14.0,z,-0.20031674,0.14184059999999998,0,1.412266586576763,1
14.0,Y,0.16654912,0.1424265,0,1.1693689025567573,1
16.0,u,-0.24101678,0.14184059999999998,0,1.6992086891905425,1
16.0,g,0.03245947,0.14195499,0,0.2286602957740337,1
16.0,r,-0.22273287,0.14184059999999998,0,1.5703040596274975,1
16.0,i,-0.22149637,0.14184059999999998,0,1.5615865274117569,1
16.0,z,-0.16785091,0.14184059999999998,0,1.1833770443723448,1
16.0,Y,0.053164005,0.1420279,0,0.3743208552685775,1
18.0,u,0.04631796,0.14200379999999999,0,0.32617408829904554,1
18.0,g,-0.15068910000000002,0.14184059999999998,0,1.062383407853605,1
18.0,r,-0.07089881,0.14184059999999998,0,0.49984849189865255,1
18.0,i,0.17793156,0.14246646,0,1.2489364865246178,1
18.0,z,0.111604914,0.14223349,0,0.7846598856570278,1
18.0,Y,0.09314983,0.1421686,0,0.6552067756171194,1
20.0,u,-0.27980554,0.14184059999999998,0,1.9726759475072726,1
20.0,g,-0.022049876,0.14184059999999998,0,0.15545532097297954,1
20.0,r,-0.07788491,0.14184059999999998,0,0.54910166764664,1
20.0,i,0.046740397999999996,0.14200528,0,0.3291454937450213,1
20.0,z,-0.3537338,0.14184059999999998,0,2.4938825695886795,1
20.0,Y,0.05508792,0.14203466,0,0.3878484307985107,1
22.0,u,-0.05414399,0.14184059999999998,0,0.3817242030843074,1
22.0,g,0.07072732,0.14208971,0,0.49776524985517945,1
22.0,r,0.110495284,0.14222959,0,0.7768797196139003,1
22.0,i,0.064414725,0.14206749999999999,0,0.4534092948774351,1
22.0,z,-0.027234752,0.14184059999999998,0,0.19200956566737595,1
22.0,Y,0.17074291,0.14244123,0,1.1986902247333866,1
24.0,u,0.15045870000000006,0.14237002,0,1.0568144894550133,1
24.0,g,0.014545457,0.14189188,0,0.1025108484009092,1
24.0,r,0.24253203,0.14269300000000001,0,1.6996771390327485,1
24.0,i,-0.14374228,0.14184059999999998,0,1.0134071626882573,1
24.0,z,0.18865389999999999,0.14250408,0,1.3238491136534476,1
24.0,Y,0.08457564,0.14213844,0,0.5950229930763274,1
26.0,u,0.08858603,0.14215255,0,0.6231758065542968,1
26.0,g,-0.13469066,0.14184059999999998,0,0.9495917247952984,1
26.0,r,0.11935213,0.14226072,0,0.8389675660294703,1
