mjd,band,flux,fluxerr,detected_bool
53018.0,u,-0.09966798,0.14184059999999998,0
53018.0,g,-0.051326606,0.14184059999999998,0
53018.0,r,0.36112648,0.14310795,0
53018.0,i,-0.21266635,0.14184059999999998,0
53018.0,z,0.23950152,0.14268237,0
53018.0,Y,-0.22783542,0.14184059999999998,0
53020.0,u,-0.005097231,0.14184059999999998,0
53020.0,g,0.03501136,0.14196397,0
53020.0,r,0.0024868196,0.14184938,0
53020.0,i,0.0067238603,0.14186431,0
53020.0,z,0.00842347,0.1418703,0
53020.0,Y,-0.20619938,0.14184059999999998,0
53022.0,u,0.100413,0.14219414,0
53022.0,g,0.013045439,0.14188659,0
53022.0,r,-0.07551260000000001,0.14184059999999998,0
53022.0,i,-0.14087641,0.14184059999999998,0
53022.0,z,-0.10236474,0.14184059999999998,0
53022.0,Y,-0.029903019,0.14184059999999998,0
53024.0,u,0.05644687,0.14203946,0
53024.0,g,0.13500306,0.14231572,0
53024.0,r,-0.016459063,0.14184059999999998,0
53024.0,i,0.07381522,0.14210059,0
53024.0,z,0.03392401,0.14196014,0
53024.0,Y,-0.09746556,0.14184059999999998,0
53026.0,u,-0.10932695,0.14184059999999998,0
53026.0,g,0.23931468,0.14268172,0
53026.0,r,-0.0040817764,0.14184059999999998,0
53026.0,i,-0.18985339,0.14184059999999998,0
53026.0,z,-0.23281457,0.14184059999999998,0
53026.0,Y,0.072658576,0.1420965,0
53028.0,u,-0.23359811,0.14184059999999998,0
53028.0,g,0.06265566,0.14206131,0
53028.0,r,-0.21935189,0.14184059999999998,0
53028.0,i,0.117195256,0.14225313,0
53028.0,z,0.07420296,0.14210194,0
53028.0,Y,0.057962753,0.14204478,0
53030.0,u,0.018981723,0.14190751,0
53030.0,g,0.22687216,0.14263810000000002,0
53030.0,r,-0.0006136297,0.14184059999999998,0
53030.0,i,-0.009947976,0.14184059999999998,0
53030.0,z,0.004161423,0.14185528,0
53030.0,Y,0.073606275,0.14209984,0
53032.0,u,0.015680974,0.14189588,0
53032.0,g,-0.08117751,0.14184059999999998,0
53032.0,r,0.22422767,0.14262885,0
53032.0,i,-0.014061724,0.14184059999999998,0
53032.0,z,-0.16630885,0.14184059999999998,0
53032.0,Y,-0.16294489999999998,0.14184059999999998,0
53034.0,u,0.13260563,0.1423073,0
53034.0,g,-0.07069841,0.14184059999999998,0
53034.0,r,-0.3237003,0.14184059999999998,0
53034.0,i,-0.029426215,0.14184059999999998,0
53034.0,z,-0.07816186,0.14184059999999998,0
53034.0,Y,-0.02426024,0.14184059999999998,0
53036.0,u,-0.19972111,0.14184059999999998,0
53036.0,g,0.13985296,0.14233275,0
53036.0,r,0.08295254,0.14213271,0
53036.0,i,-0.18592902,0.14184059999999998,0
53036.0,z,-0.35255040000000004,0.14184059999999998,0
