mjd,band,flux,fluxerr,detected_bool
53008.0,u,-0.18336943,0.14184059999999998,0
53008.0,g,-0.068891026,0.14184059999999998,0
53008.0,r,-0.02039731,0.14184059999999998,0
53008.0,i,-0.13272086,0.14184059999999998,0
53008.0,z,0.03696312,0.14197086,0
53008.0,Y,-0.18584226,0.14184059999999998,0
53010.0,u,0.17211644,0.14244604,0
53010.0,g,0.03390088,0.14196007,0
53010.0,r,-0.05998263,0.14184059999999998,0
53010.0,i,-0.08500830000000001,0.14184059999999998,0
53010.0,z,-0.22226083,0.14184059999999998,0
53010.0,Y,0.05990291,0.14205162,0
53012.0,u,0.021439385,0.14191617,0
53012.0,g,-0.02976001,0.14184059999999998,0
53012.0,r,0.20082022,0.14254677,0
53012.0,i,-0.110299684,0.14184059999999998,0
53012.0,z,0.06374632599999999,0.14206514,0
53012.0,Y,0.11697831,0.14225239,0
53014.0,u,0.0720642,0.14209442,0
53014.0,g,-0.09089079,0.14184059999999998,0
53014.0,r,-0.19016536,0.14184059999999998,0
53014.0,i,-0.10294134,0.14184059999999998,0
53014.0,z,0.10286794,0.14220278,0
53014.0,Y,0.09292357,0.14216779999999998,0
53016.0,u,-0.30457512,0.14184059999999998,0
53016.0,g,-0.006123707,0.14184059999999998,0
53016.0,r,0.19536519,0.14252764,0
53016.0,i,0.01477165,0.14189267,0
53016.0,z,-0.16738437,0.14184059999999998,0
53016.0,Y,-0.07265209,0.14184059999999998,0
53018.0,u,-0.023601705,0.14184059999999998,0
53018.0,g,-0.14002298,0.14184059999999998,0
53018.0,r,-0.122255035,0.14184059999999998,0
53018.0,i,0.13936172,0.14233102,0
53018.0,z,0.040281262000000005,0.14198253,0
53018.0,Y,-0.03243936,0.14184059999999998,0
53020.0,u,-0.15989788,0.14184059999999998,0
53020.0,g,0.054360785,0.14203210000000002,0
53020.0,r,0.003276896,0.14185216,0
53020.0,i,0.09166359,0.14216337,0
53020.0,z,-0.16328588,0.14184059999999998,0
53020.0,Y,-0.031719472,0.14184059999999998,0
53022.0,u,0.07602039,0.14210834,0
53022.0,g,0.28810102,0.14285259,0
53022.0,r,-0.14732252,0.14184059999999998,0
53022.0,i,-0.30944473,0.14184059999999998,0
53022.0,z,0.34239587,0.14304249,0
53022.0,Y,-0.014425328,0.14184059999999998,0
53024.0,u,0.16797711,0.14243151,0
53024.0,g,-0.11999314,0.14184059999999998,0
53024.0,r,-0.076593615,0.14184059999999998,0
53024.0,i,-0.08127664,0.14184059999999998,0
53024.0,z,-0.09943198,0.14184059999999998,0
53024.0,Y,0.10850212,0.14222258,0
53026.0,u,0.11447715,0.14224358,0
53026.0,g,-0.13181384,0.14184059999999998,0
53026.0,r,-0.17143492,0.14184059999999998,0
53026.0,i,0.14831127,0.14236246,0
53026.0,z,-0.12323611,0.14184059999999998,0
53026.0,Y,-0.13301207,0.14184059999999998,0
53028.0,u,0.3031594,0.14290528,0
53028.0,g,-0.08974769,0.14184059999999998,0
53028.0,r,0.059683207,0.14205085,0
53028.0,i,0.0063194647,0.14186288,0
53028.0,z,0.06029099,0.14205298,0
53028.0,Y,-0.016338173,0.14184059999999998,0
53030.0,u,-0.26344964,0.14184059999999998,0
53030.0,g,-0.15036282,0.14184059999999998,0
53030.0,r,0.1880491,0.14250195,0
53030.0,i,-0.087793425,0.14184059999999998,0
53030.0,z,-0.29711738,0.14184059999999998,0
53030.0,Y,0.35412222,0.14308348,0
53032.0,u,0.1938039,0.14252216,0
53032.0,g,0.037936073,0.14197427,0
53032.0,r,0.06293412,0.14206229,0
53032.0,i,0.22872262,0.14264461,0
53032.0,z,0.021882141,0.14191772,0
53032.0,Y,-0.019083286,0.14184059999999998,0
53034.0,u,0.0060806996,0.14186205,0
53034.0,g,0.05292405,0.14202705,0
53034.0,r,0.082666926,0.14213173,0
53034.0,i,0.20117697,0.14254802,0
53034.0,z,-0.061212696,0.14184059999999998,0
53034.0,Y,0.15084754,0.14237137,0
53036.0,u,0.011074625,0.14187963,0
53036.0,g,-0.05826213,0.14184059999999998,0
53036.0,r,-0.10839695,0.14184059999999998,0
53036.0,i,0.12103588,0.14226663,0
53036.0,z,0.3181956,0.14295788,0
53036.0,Y,0.21529,0.1425975,0
53038.0,u,0.009277345,0.1418733,0
53038.0,g,-0.039235607,0.14184059999999998,0
53038.0,r,0.0747773,0.14210396,0
53038.0,i,0.074120715,0.14210166,0
53038.0,z,0.27838585,0.14281857,0
53038.0,Y,-0.052603297,0.14184059999999998,0
53040.0,u,1.030528,0.14542794,0
53040.0,g,2.3796275,0.14999463,0
53040.0,r,3.8022177,0.15466408,0
53040.0,i,5.1406355,0.15893203,0
53040.0,z,6.05363,0.16177882,0
53040.0,Y,6.1724809999999986,0.16214573,0
53042.0,u,1.5090249,0.14706387,0
53042.0,g,4.5048895,0.15691926,0
53042.0,r,7.766628,0.16698918,0
53042.0,i,10.077633,0.17377108,0
53042.0,z,11.596898,0.17808892,0
53042.0,Y,11.94874,0.179074,0
53044.0,u,2.2155720000000003,0.14944674,0
53044.0,g,6.4337134,0.1629493,0
53044.0,r,11.54193,0.17793451,0
53044.0,i,15.765398,0.18943113,0
53044.0,z,17.605342999999994,0.19422695,0
53044.0,Y,18.448208,0.19638476,0
53046.0,u,3.0726337000000004,0.1522872,0
53046.0,g,8.602136,0.1694724,0
53046.0,r,16.047314,0.1901738,0
53046.0,i,21.767815,0.2046621,0
53046.0,z,24.260025,0.21066272,0
53046.0,Y,26.137327,0.21507227,0
53048.0,u,3.482587,0.1536273,0
53048.0,g,10.434507,0.17479493,0
53048.0,r,19.799686,0.199796,0
53048.0,i,27.293558,0.2177437,0
53048.0,z,31.608362,0.22743598,0
53048.0,Y,33.824220000000004,0.23225628,0
53050.0,u,3.7476785,0.15448765,0
53050.0,g,11.615951,0.17814238,0
53050.0,r,23.111782,0.20791955,0
53050.0,i,33.007786,0.23049197,0
53050.0,z,38.106625,0.24129936,0
53050.0,Y,41.030396,0.24728355,0
53052.0,u,3.7960455,0.15464412,0
53052.0,g,12.329226,0.18013324,0
53052.0,r,25.819044,0.21433106,0
53052.0,i,37.602074,0.2402516,0
53052.0,z,44.725876,0.25464610000000004,0
53052.0,Y,48.82382,0.2625692,0
53054.0,u,3.657509,0.15419556,0
53054.0,g,12.910466,0.18173943,0
53054.0,r,27.907843,0.21914972,0
53054.0,i,41.52139,0.24827434,0
53054.0,z,49.821445,0.26446208,0
53054.0,Y,54.999645,0.27407736,0
53056.0,u,3.0970616,0.15236738,0
53056.0,g,12.691811,0.18113689,0
53056.0,r,28.6257,0.22078148,0
53056.0,i,44.33152000000001,0.25387058,0
53056.0,z,53.705630000000006,0.27170646,0
53056.0,Y,59.914024,0.28290066,0
53058.0,u,2.8090394,0.15141928,0
53058.0,g,12.14994,0.1796349,0
