mjd,band,flux,fluxerr,detected_bool
53104.0,u,-0.07560451,0.14184059999999998,0
53104.0,g,0.0438267,0.14199503,0
53104.0,r,-0.033237245,0.14184059999999998,0
53104.0,i,-0.12714937,0.14184059999999998,0
53104.0,z,-0.111338094,0.14184059999999998,0
53104.0,Y,0.13900776,0.14232978,0
53106.0,u,-0.08153031,0.14184059999999998,0
53106.0,g,0.17459728,0.14245476,0
53106.0,r,0.10193051,0.14219947,0
53106.0,i,0.14880791,0.14236422,0
53106.0,z,-0.057842936,0.14184059999999998,0
53106.0,Y,0.35199746,0.14307605,0
53108.0,u,0.029317487000000007,0.14194392,0
53108.0,g,0.1799852,0.14247367,0
53108.0,r,0.122777835,0.14227276,0
53108.0,i,-0.0052064103,0.14184059999999998,0
53108.0,z,-0.081288055,0.14184059999999998,0
53108.0,Y,0.05545754,0.14203596,0
53110.0,u,-0.10131275,0.14184059999999998,0
53110.0,g,0.10148536,0.14219790000000002,0
53110.0,r,0.10131913,0.14219733,0
53110.0,i,0.15870628,0.14239897,0
53110.0,z,0.05404121,0.14203098,0
53110.0,Y,0.06484981,0.14206903,0
53112.0,u,-0.09849095,0.14184059999999998,0
53112.0,g,0.035671495,0.14196631,0
53112.0,r,-0.10064058,0.14184059999999998,0
53112.0,i,-0.05671024700000001,0.14184059999999998,0
53112.0,z,-0.10481646,0.14184059999999998,0
53112.0,Y,-0.06336596,0.14184059999999998,0
53114.0,u,-0.18305911,0.14184059999999998,0
53114.0,g,0.08522533,0.14214072,0
53114.0,r,-0.19070266,0.14184059999999998,0
53114.0,i,0.21223441,0.1425868,0
53114.0,z,-0.01677189,0.14184059999999998,0
53114.0,Y,-0.18075691,0.14184059999999998,0
53116.0,u,-0.20922491,0.14184059999999998,0
53116.0,g,-0.08631215,0.14184059999999998,0
53116.0,r,-0.0008506872,0.14184059999999998,0
53116.0,i,0.040524304,0.14198339999999998,0
53116.0,z,-0.19772595,0.14184059999999998,0
53116.0,Y,0.09181188,0.14216389,0
53118.0,u,-0.23446967,0.14184059999999998,0
53118.0,g,-0.34762353,0.14184059999999998,0
53118.0,r,0.120961234,0.14226638,0
53118.0,i,0.15364231,0.14238118,0
53118.0,z,0.08029876,0.14212339999999998,0
53118.0,Y,-0.021737115,0.14184059999999998,0
53120.0,u,0.00013726477,0.1418411,0
53120.0,g,0.044880323,0.14199874,0
53120.0,r,-0.012442842,0.14184059999999998,0
53120.0,i,-0.053198084000000014,0.14184059999999998,0
53120.0,z,0.17198358,0.14244558,0
53120.0,Y,0.14265406,0.1423426,0
53122.0,u,0.08620531,0.14214416,0
53122.0,g,-0.20565182,0.14184059999999998,0
53122.0,r,0.02998561,0.14194627,0
53122.0,i,0.039521143,0.14197986,0
53122.0,z,-0.015973689,0.14184059999999998,0
53122.0,Y,-0.045363699999999986,0.14184059999999998,0
53124.0,u,0.096695244,0.14218105,0
53124.0,g,0.0917505,0.14216366,0
53124.0,r,-0.18952975,0.14184059999999998,0
53124.0,i,0.053883553,0.14203043,0
53124.0,z,0.07666663,0.14211062,0
53124.0,Y,0.06796753,0.14208001,0
53126.0,u,0.23247828,0.14265776,0
53126.0,g,0.14649872,0.1423561,0
53126.0,r,0.32034308,0.14296539,0
53126.0,i,-0.095438406,0.14184059999999998,0
53126.0,z,0.027040735,0.1419359,0
53126.0,Y,0.16016448,0.14240408,0
53128.0,u,0.06842706,0.14208162,0
53128.0,g,0.10980617,0.14222716,0
53128.0,r,-0.1696537,0.14184059999999998,0
53128.0,i,-0.017177513000000002,0.14184059999999998,0
53128.0,z,0.025370331,0.14193003,0
53128.0,Y,0.067748584,0.14207922,0
53130.0,u,0.18790685,0.14250146,0
53130.0,g,0.2762495,0.14281109,0
53130.0,r,0.067117706,0.14207701,0
53130.0,i,0.08065532,0.14212465,0
53130.0,z,-0.36777288,0.14184059999999998,0
53130.0,Y,0.147671,0.14236021,0
53132.0,u,0.26037732,0.14275551,0
53132.0,g,0.94453037,0.14513198,0
53132.0,r,0.5422189000000001,0.14373927,0
53132.0,i,0.6463456,0.14410102,0
53132.0,z,0.41727644,0.143304,0
53132.0,Y,0.292289,0.14286724,0
53134.0,u,2.2390482000000005,0.14952527,0
53134.0,g,5.319909,0.15949504,0
53134.0,r,3.5649219,0.15389504,0
53134.0,i,2.2593837000000003,0.14959326,0
53134.0,z,3.7069929,0.15435593,0
53134.0,Y,1.7124796999999998,0.14775398,0
53136.0,u,3.5922914,0.15398394,0
53136.0,g,12.610251,0.1809116,0
53136.0,r,9.574904,0.1723185,0
53136.0,i,7.3257985,0.16566399,0
53136.0,z,10.337701,0.1745178,0
53136.0,Y,6.2875333,0.16250014,0
53138.0,u,4.0503073,0.15546404,0
53138.0,g,22.16545,0.20563124,0
53138.0,r,20.791315,0.20226239,0
53138.0,i,16.838514,0.19224276,0
53138.0,z,20.129885,0.20062065,0
53138.0,Y,14.859318,0.18702427,0
53140.0,u,5.190613,0.1590892,0
53140.0,g,31.784063,0.2278219,0
53140.0,r,33.523342,0.23160765,0
53140.0,i,28.07196,0.21952385,0
53140.0,z,30.520227,0.22503108,0
53140.0,Y,24.24279,0.2106218,0
53142.0,u,7.682289,0.16673647,0
53142.0,g,40.475437,0.24615888,0
53142.0,r,46.04522,0.2572236,0
53142.0,i,40.411125,0.24602821,0
53142.0,z,39.415962,0.24399738,0
53142.0,Y,33.236496,0.23098756,0
53144.0,u,12.16936,0.17968895,0
53144.0,g,47.170982,0.25940266,0
53144.0,r,57.225376,0.27810812,0
53144.0,i,52.05625,0.26865408,0
53144.0,z,47.117767,0.25930008,0
53144.0,Y,39.9872,0.24516517,0
53146.0,u,13.922145,0.18450177,0
53146.0,g,54.567066,0.27328709999999995,0
53146.0,r,66.72712,0.29469627,0
53146.0,i,62.52031700000001,0.28747013,0
53146.0,z,56.952705,0.27761748,0
53146.0,Y,47.971672,0.26094145,0
53148.0,u,10.20534,0.17413817,0
53148.0,g,57.253853,0.27815932,0
53148.0,r,77.816574,0.3129462,0
53148.0,i,73.49839,0.3059692,0
53148.0,z,68.391624,0.29750696,0
53148.0,Y,54.634876,0.2734111,0
53150.0,u,12.340729,0.18016516,0
53150.0,g,62.61511,0.28763494,0
53150.0,r,86.34494000000002,0.32628775,0
53150.0,i,85.35575,0.3247684,0
53150.0,z,75.82725500000002,0.30975154,0
53150.0,Y,63.382072,0.2889651,0
53152.0,u,9.398785,0.17180671,0
53152.0,g,62.658035,0.28770956,0
53152.0,r,93.44286,0.33698907,0
53152.0,i,93.874084,0.33762828,0
53152.0,z,85.000694,0.3242213,0
53152.0,Y,69.42866,0.29924476,0
53154.0,u,7.125279400000001,0.16505767,0
53154.0,g,60.539585,0.28400412,0
53154.0,r,97.04411,0.3422906,0
53154.0,i,99.9127,0.34645557,0
53154.0,z,90.677956,0.33286140000000003,0
53154.0,Y,75.21028000000003,0.308754,0
53156.0,u,5.675921,0.16060722,0
53156.0,g,57.38438000000001,0.27839386,0
53156.0,r,96.95236,0.34215656,0
53156.0,i,106.8785,0.35636675,0
53156.0,z,95.92668,0.34065443,0
53156.0,Y,79.71023000000002,0.31595725,0
53158.0,u,5.0163093,0.15854044,0
53158.0,g,51.506447,0.26762885,0
53158.0,r,93.912254,0.33768478,0
53158.0,i,110.011955,0.36073637,0
53158.0,z,98.824356,0.34488133,0
53158.0,Y,84.05194,0.32275486,0
53160.0,u,4.0464044,0.15545148,0
53160.0,g,44.933353,0.25505313,0
53160.0,r,88.59996,0.3297252,0
53160.0,i,112.7073,0.3644531,0
53160.0,z,102.22785,0.3497808,0
53160.0,Y,88.10285,0.32897052,0
53162.0,u,3.1799338,0.1526391,0
53162.0,g,38.789417,0.24271007,0
53162.0,r,84.15899,0.32292065,0
53162.0,i,115.44516000000002,0.36819005,0
53162.0,z,105.02909,0.35376242,0
53162.0,Y,92.38444,0.33541498,0
53164.0,u,2.0990393,0.14905636,0
53164.0,g,33.38993,0.23131944,0
53164.0,r,79.40534,0.3154744,0
