flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
0.007803028,-0.33203244,0.04002255,0.032051697000000004,0.11159034,0.10150564
,,,,,
0.45689344,-0.031341624,0.05265531,-0.11148803,0.011355767,-0.051200204000000006
,,,,,
0.18829699,0.18447362,0.11055365,0.05259815,0.09818596,0.18341352
,,,,,
0.04462458,-0.16440159,-0.013921229,0.08469657,0.04367016,0.30117762
,,,,,
0.27608117,0.17651878,0.020723617,-0.10434036,-0.029344086,0.14100417
,,,,,
0.047738172,-0.19403906,-0.019166613,0.017641978,-0.081672065,0.32725456
,,,,,
0.014425688,-0.07307369,0.09436874,0.044101942000000005,0.19187467,0.10164852
,,,,,
0.19520989,-0.014358703,0.11540517,-0.26807067,0.16723867,0.09405941
,,,,,
-0.13387316,-0.16437092,0.0016168343,-0.31410274,-0.04963923,-0.06583421
,,,,,
-0.09980802,0.049953923,-0.06689219,0.103317715,-0.12474641,-0.038571257000000005
,,,,,
-0.022703797,-0.01890793,-0.15375523,0.008422596999999999,0.12030588,0.2085299
,,,,,
-0.14822994,-0.12824301,0.28554824,-0.14019041,-0.04982465,-0.018808447
,,,,,
0.20394847,0.10091986,0.08706633,-0.17289215,0.19073239,0.029681623
,,,,,
0.26554320000000003,-0.008200361,-0.11012012,0.17141038,0.32051176,0.08442384
,,,,,
0.06941424,-0.04307536,0.012800075,0.16596575,-0.057900514000000014,-0.16569078
,,,,,
-0.24436867,0.13448904,0.13420023,-0.15220782,0.07121844,-0.35298842
,,,,,
-0.04245957,0.03453606,-0.057204545,-0.049763687,-0.09618243,-0.22521137
,,,,,
0.046620287,-0.10618328,-0.13202108,-0.13082021,-0.10563084,-0.05550586
,,,,,
-0.013026973999999998,-0.008666303,0.10410882,0.004764064,-0.05305228,0.0034243183
,,,,,
-0.19636343,-0.069195665,-0.010869428,0.09284782,-0.14251249,0.032791656
,,,,,
0.15234162,0.06915779,0.018216236,0.017040038,-0.025230166,0.21050729
,,,,,
-0.06418427,-0.03342467,0.15062544,0.11010494,-0.06270962,0.022652924
,,,,,
0.22668692,0.16169560000000002,-0.012701252,-0.23500876,0.08162298,0.12231858
,,,,,
-0.07395826,0.14344938,-0.11239685,0.18580818,0.00847654,0.05325648
,,,,,
0.12839752,0.0627703,-0.06409005,0.29612494,0.046790566,0.06213611
,,,,,
-0.16126135,-0.10224968,-0.11075105,-0.08130571,0.120743684,0.09207179
,,,,,
-0.12588719,-0.007828991,-0.10863332,-0.08632321,0.2877097,0.14919017
,,,,,
0.10889699,-0.007984348,-0.059174836,0.120194115,0.05689749,-0.008144561
,,,,,
0.15999515,-0.032693043,0.16091122,-0.10856861,-0.13698591,-0.03384007
,,,,,
-0.07872499,0.123200476,-0.056272797,-0.09401284,-0.09013973,-0.17279455
,,,,,
-0.13024369,-0.0920208,-0.057925843,0.11499214,-0.07244573,0.1109462
,,,,,
0.036905903,-0.14519814,-0.0081182765,-0.15638398,-0.1764491,0.14272359
,,,,,
-0.08882373,-0.016156018,-0.12139366,-0.35022557,-0.07419986,-0.013375515
,,,,,
-0.028593635,-0.13436317,-0.1265996,0.05411772,-0.17824271,0.18378386
,,,,,
0.047563884,-0.041796844,0.15379931,-0.088739425,-0.062452475999999986,0.037375923
,,,,,
-0.1543911,-0.06302898400000001,0.09039213,0.006481921999999999,0.16099341,-0.18071729
,,,,,
-0.018187393,0.3413339,0.18642946,-0.17690311,0.12774648,-0.089894794
,,,,,
-0.12170992,-0.34341428,0.0029359665,0.016851111999999998,-0.10919875,-0.06545785
,,,,,
-0.03500334,-0.051604953,-0.20648812,-0.008875339,0.066427246,-0.22042854
,,,,,
-0.20172118,0.10250742,0.014335965,-0.25329128,-0.2004766,-0.16041176
,,,,,
0.17837851,-0.1319642,-0.17622945,0.1455148,0.13593398,-0.3213335
,,,,,
0.28410473,-0.08337232,0.09334391,0.025301617,-0.013888721,0.08845066
,,,,,
0.20588629,0.0008239471,0.19257739,-0.1212677,-0.07445747400000001,-0.27776393
,,,,,
-0.109287545,0.03477075,-0.08755989,-0.24977626,0.31640214,-0.1163701
,,,,,
-0.013953845,0.06089484,0.014039493,-0.029884811,0.022098418,-0.23859401
,,,,,
-0.022936992000000003,0.0017173329,0.0041523455,0.091204464,0.067646734,-0.027200859
,,,,,
-0.007723708,-0.22994944,0.103078455,0.122847505,0.13106155,-0.03993498
,,,,,
0.23748553,0.04206175400000002,0.040894624,-0.021717096,-0.046260297,-0.1807902
,,,,,
-0.025596043,-0.017354565,-0.016359603,0.104641184,-0.07877608,-0.14791599
,,,,,
-0.0587394,-0.12686461,0.20810871,0.025987674,0.05524895,0.06504429
,,,,,
-0.013900087,0.68116534,1.1684992,1.3183374,1.4409074,0.48233268
,,,,,
0.91589385,1.2127897,5.6720257000000025,5.5940794999999985,6.100438,1.5424485
,,,,,
2.6732903,8.503867999999999,16.680717,16.168875,16.369417000000002,8.0446
,,,,,
5.890693,26.949594,39.15429,34.71808,34.858494,24.641012
,,,,,
10.3783865,54.22821800000001,68.83975,59.890556,59.39549,48.949593
,,,,,
15.789227,85.389015,101.82621,86.68935,85.05169000000002,72.62177
,,,,,
23.741192,120.55785,135.96747,116.21083,110.02442,94.46612
,,,,,
32.480694,157.94807,173.58344,148.56981000000005,138.71542,114.897644
,,,,,
40.28319000000001,191.24005,206.88951,178.067,161.58046000000004,129.40837
,,,,,
44.642593,216.01341,233.80923,202.13925,177.1729,136.86227
,,,,,
43.863792,226.07758,252.1451,219.0238,186.23618,135.59793
,,,,,
41.226303,228.65958,263.71994,232.15346,190.37633,131.69351
,,,,,
36.012657,222.26884,267.22003,239.1783,194.60072,127.00279
,,,,,
30.703081,209.21945,263.5489,241.51572,197.85316,122.11263999999998
,,,,,
25.453783,194.33905,256.46146,240.3205,196.55624,118.07593
,,,,,
20.754356,175.0185,244.83897,235.9039,192.62265,115.06451
,,,,,
17.375948,156.10766999999996,228.64162,226.61935,182.73611,109.45423
,,,,,
14.279607,138.86226000000002,213.22934,214.04808,167.02899,101.18346
,,,,,
11.457287,120.889565,194.13731,198.50827,149.26773,91.32553
,,,,,
9.882708,104.411285,176.43591,183.7499,134.1908,83.69475600000001
,,,,,
8.763517,89.13273000000002,158.14363,169.1914,121.87933999999998,77.0768
,,,,,
8.335813,73.511444,139.05803,155.02681,113.82822,71.96157
,,,,,
7.0065556,60.744514,122.62078,143.39597,109.58946,69.16404
,,,,,
4.459941400000001,50.772797,107.80348,135.0289,107.072495,69.65061999999999
,,,,,
1.6268241,42.7275,94.902306,130.60141000000002,106.596275,71.19589
,,,,,
-0.018808447,36.613914,83.780785,124.51778,106.32902,73.73881999999998
,,,,,
