flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
0.1540777,-0.22460137,-0.05973464,0.0006984167,0.18020058,0.14912729
,,,,,
0.06625823,-0.21898869,-0.1705558,0.0193409,-0.2318348,0.22097981
,,,,,
0.21068925,-0.18260068,0.12826203,-0.13873273,-0.05655921,-0.008068483000000001
,,,,,
-0.11709996,-0.08748145,0.034618538,-0.08734834,-0.19915266,-0.119556926
,,,,,
0.16147816,0.09516861,0.16289808,-0.036479402,0.077189825,0.009145867
,,,,,
-0.3424687,-0.18116187,0.050153557,0.2842333,0.07089099,-0.1900606
,,,,,
-0.014549917,-0.22346143,0.18928151,-0.1402918,0.042914968,-0.056959882
,,,,,
-0.06945659,0.1178835,-0.09743669,-0.019672576,-0.008485094,0.23171803
,,,,,
0.17853045,0.00063815515,-0.26347370000000003,0.16206256,-0.04022055,-0.02504223
,,,,,
0.01988442,-0.10849329,-0.1480243,0.040805493,-0.018870497,0.10404623
,,,,,
0.14866313,-0.22580679,-0.08868250000000001,0.32956284,0.14302087,-0.10774307
,,,,,
-0.15417327,-0.05124908,0.009295798,0.045265954,-0.07457855,-0.17533019
,,,,,
0.32182264,-0.0060003083,-0.2634621,-0.070907675,0.028724972,-0.0642968
,,,,,
0.13783598,-0.06286103,-0.16677555,0.008364706,-0.14011602,-0.03725903
,,,,,
0.04371763,0.019556774,0.15427878,-0.18517534,0.0025327078,-0.1490506
,,,,,
0.2242776,0.2168579,0.09137239,-0.3541038,-0.17894919,-0.06580566
,,,,,
0.0052175205,-0.15679327,-0.073132455,-0.13663371,-0.20225638,0.15485320000000002
,,,,,
-0.114829354,0.35308427,-0.1680237,0.1353851,-0.01784949,-0.027141502
,,,,,
-0.0212776,-0.38991952,-0.057290826,0.009334173,0.018741157,0.17268363
,,,,,
0.047353324,-0.03723873,0.077746615,-0.034382235,0.13187745,-0.10465649
,,,,,
-0.17380975,0.05925246,-0.16864294,-0.14058681,0.13461885,-0.16637112
,,,,,
56.54158,17.590363,11.092335,7.95547,7.375617,7.2475809999999985
,,,,,
184.01486,59.09438299999999,41.523018,32.674465000000005,29.606415,27.488998
,,,,,
310.5300299999999,113.35496,74.67989,61.789078,58.32917800000001,52.748604
,,,,,
259.1952,164.79353,95.894104,83.93826999999997,79.71538000000002,75.639854
,,,,,
161.3424,185.49727,104.73735,94.41261,92.53383,91.45013
,,,,,
112.75591,181.15082,108.07559,96.65894,99.44584,101.11159
,,,,,
90.713455,166.12527,106.54487,94.87312,100.70627,104.637375
,,,,,
73.23009499999998,149.23303,105.18591,92.65049,101.48446,105.07243
,,,,,
61.34483,131.71524,104.07557,90.47587,99.093506,101.38312
,,,,,
65.24554,116.01685,102.19902,88.42881,95.47078,97.388466
,,,,,
64.38586,101.16639,99.28942,86.38485,90.73642,91.78542
,,,,,
60.18849,89.62325,96.938835,84.65968000000002,87.63977,86.467445
,,,,,
55.309547,78.97438000000002,91.96046,81.67192,83.50503499999998,81.22646999999998
,,,,,
51.954918,69.571,87.22624,79.70182,81.251526,77.57836999999998
,,,,,
47.800068,61.21201,82.32203,77.702156,77.97249000000002,73.67903000000003
,,,,,
43.956974,53.981773,77.564865,74.91662600000002,76.06231,72.1152
,,,,,
38.923725,47.818333,72.9599,72.74842,74.20322,70.87029
,,,,,
34.19803,43.815647,68.18641,71.03004,73.2681,69.71262
,,,,,
