flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
0.04270745,-0.0023815506,0.16583614,-0.037706256,-0.053683914000000006,-0.32983008
,,,,,
0.2065476,-0.06875328,0.05652656,-0.07141623,0.09048709,0.1044762
,,,,,
0.20505692,0.025970703,-0.1260146,0.0315725,-0.10483498,-0.07970965
,,,,,
0.08261083,-0.11666623,-0.052988376,-0.10690543,-0.035971857999999995,-0.099233024
,,,,,
0.17725739,0.054776296,0.04560107,0.16941835,-0.11721259,-0.11589432
,,,,,
-0.114051685,0.22798842,-0.04024651,0.15692006,0.031136345,-0.20310418
,,,,,
0.19085868,-0.052523952,0.16794863,0.024985813,-0.20376307,0.047375616
,,,,,
0.0047701686,0.011073515,-0.18356073,0.117257625,0.0013057478,-0.095324166
,,,,,
-0.16664222,0.11658805,-0.04866396,-0.019368408,0.22159277,-0.08154578
,,,,,
0.0105867945,0.12818216,0.037682936,0.061139606,-0.40841174,-0.16411075
,,,,,
-0.074943915,-0.06714398,-0.014347868,0.063084535,-0.02788384,-0.2289089
,,,,,
-0.1145163,-0.026921583,-0.053051777,0.060923196,-0.14869682,0.02518907
,,,,,
-0.075321235,-0.009108011,-0.012605193,0.062482536,-0.016298221,0.015790202
,,,,,
0.05052755,0.1903335,-0.058849093,0.17573412,0.11713257,0.25043854
,,,,,
0.105750546,-0.06282947,-0.11787492,-0.105751045,0.21922578,0.15313452
,,,,,
0.15945907,-0.18764068,-0.047144033,-0.29599622,-0.30195597,0.043476976
,,,,,
-0.33746183,0.020564893,0.0057554888,-0.055876248,0.022086633,0.042413723
,,,,,
-0.057850618,0.012146071,-0.019507276,-0.13547094,-0.10009702,0.03468461
,,,,,
0.12847003,0.22492523,0.44451663,0.69507253,0.9787044,0.9239273
,,,,,
0.029316021,0.7130671,1.741618,2.5219119,3.6723504,3.4105870000000005
,,,,,
0.16750668,1.531324,4.3000417,6.465132,8.14273,8.553299
,,,,,
0.2666765,2.977288,8.533866999999999,13.231089,16.491129,16.552618
,,,,,
0.69485354,5.1618996,15.346391,23.51834,29.508816,29.83457000000001
,,,,,
0.7624413000000001,6.854431,23.147018,35.67589,43.471264,45.008465
,,,,,
0.76051587,7.7197485,27.917923,44.434414,54.131218,55.696457
,,,,,
0.78117865,8.115039999999999,32.682053,52.17154,66.35874,65.966576
,,,,,
0.90803576,8.340419,35.66286500000001,59.313187,75.23689,76.49805500000002
,,,,,
0.75537014,7.6689277,35.011124,63.95350300000001,80.83038,83.51595999999998
,,,,,
0.67126733,6.9569826,33.837284000000004,65.76033000000001,84.096954,88.03764
,,,,,
0.4447853,5.6192769999999985,29.876894,64.06756,83.60419499999998,88.32649
,,,,,
0.31694943,4.649704,24.538055,59.724808,81.590164,84.70803000000002
,,,,,
0.53002477,3.6255264,20.14682,53.44682,77.08924,78.855736
,,,,,
0.43608785,2.7791176,15.789967,47.163372,67.84493,74.4184
,,,,,
0.25348684,2.155802,12.303148,40.222572,59.684155,70.275734
,,,,,
0.23779872,1.8790313000000003,10.446621,34.825516,53.15795,63.87821
,,,,,
0.30679116,2.0804946,9.474772,31.498676,46.91023300000001,57.762703
,,,,,
0.07817271,1.6783737,8.650685000000001,28.934063,43.119186,51.943615
,,,,,
0.020799642,1.5180284,7.9816017000000015,25.841997,38.736122,47.04428
,,,,,
0.35040027,1.3574123,7.2151995,23.690306,34.782497,42.475597
,,,,,
0.5068604999999999,1.2073916999999998,6.336828,21.123486,31.381744,38.38538
,,,,,
0.2388572,1.1145171,5.7351730000000005,19.408848000000006,28.754707,34.787434000000005
,,,,,
0.25350276,1.0717643,5.7852917,17.487146,25.407383,31.070171
,,,,,
-0.16920924,1.0889351,5.0085682999999985,15.693116,22.922602,28.109413
,,,,,
0.07648738,1.059184,4.378359,14.782,20.73808,25.47919
,,,,,
0.045144025,0.6184699,3.8499422,12.719692,18.609001,22.669931
,,,,,
0.05989439999999999,0.7357405,3.6824892,11.525267,17.345217,20.52021
,,,,,
0.06792647,0.39156932,3.2226706000000003,10.599654,15.623364000000002,18.240547
,,,,,
0.17112745,0.84530133,3.3355238,10.097079,15.0059805,17.373016
,,,,,
0.20273617,0.7011258,3.0416417,9.513948,13.646964,15.644406
,,,,,
0.16663279,0.71545947,2.852753,9.118668,12.861745,14.4132595
,,,,,
0.021022674,0.48110884,2.853957,8.622863,11.695936,13.505992
,,,,,
-0.06889758,0.8381161,2.4647565,8.165714,11.592592,12.630465
,,,,,
-0.2745026,0.7525979,2.2568555,7.9208746,10.080704,11.719424
,,,,,
-0.03501851,0.5545745,2.345462,7.3576326,9.911685,10.580116
,,,,,
0.4144417,0.6581869,2.4881177000000005,7.232211,9.215909,10.218381
,,,,,
-0.04482347,0.6402013000000001,2.12956,6.8259716,9.098331,9.235199
,,,,,
0.20225379,0.44845268,2.3090377,6.6190157,8.627361,8.231015
,,,,,
-0.066519015,0.5759501,1.972524,6.1888165,8.620471,7.1129729999999975
,,,,,
0.0006406665,0.6170689,2.1005017999999995,5.996397,8.475553999999999,6.850026
,,,,,
0.120408684,0.5346605999999999,2.0555830000000004,5.748875,7.954469,6.5207667
,,,,,
0.26579726,0.61065227,1.8296573,5.6082589999999986,7.963961599999997,6.717581
,,,,,
0.23170683,0.33157309999999995,1.8692727,5.4026346,7.2759333,6.367403
,,,,,
-0.045801688,0.5681126999999999,1.6685417000000002,5.285652,7.102265400000001,6.120246400000001
,,,,,
0.024010694,0.40183187,1.5344368,5.0095234,6.7838005999999975,5.638101
,,,,,
-0.051755674,0.43387446,1.7904256999999997,4.887526,6.556255,5.5110519999999985
,,,,,
0.052031475999999986,0.59944695,1.6480169999999998,4.585942,5.9434614,5.480707
,,,,,
-0.017037788,0.47286746,1.565954,4.5782185,6.1882863,5.2700267
,,,,,
0.075306565,0.273,1.6276459,4.200642,5.7370519999999985,4.9345016
,,,,,
-0.06986680599999999,0.33188975,1.4404218,4.121427,5.483341,4.8485045
,,,,,
